abs_tol=1e-4, rel_tol=1e-4

n,mat_free_scs_time,mat_free_scs_evals,mat_free_pogs_time,mat_free_pogs_evals
100,0,0,1.91069698334,3177
142,0,0,5.55194687843,8348
206,0,0,4.05250787735,6117
296,0,0,6.88247919083,10215
428,0,0,6.68589186668,9822
614,0,0,6.9981751442,9462
884,0,0,7.11163115501,9773
1274,0,0,8.01169204712,10477
1832,0,0,12.0958800316,16323
2636,0,0,13.6505980492,16523
3792,0,0,10.3547468185,12922
5454,0,0,17.2913410664,21996
7846,0,0,8.93862700462,10008
11288,0,0,7.76744914055,9763
16236,0,0,12.7501320839,14149
23356,0,0,26.1084909439,18426
33598,0,0,23.242784977,14139
48328,0,0,41.6113421917,20103
69518,0,0,35.2069199085,14560
100000,0,0,46.1921629906,36611
316226,0,0,338.188396215,36385
1000000,0,0,461.393846989,66113
3162276,0,0,12944.1842349,124118
10000000,0,0,11606.3542581,186288